BATTLE CITY - BOSS FIGHT LOG
----------------------------
Tick 109: Raw=20, Pruned=24, Speedup=0.83x
Tick 110: Raw=20, Pruned=24, Speedup=0.83x
Tick 111: Raw=20, Pruned=24, Speedup=0.83x
Tick 112: Raw=20, Pruned=24, Speedup=0.83x
Tick 113: Raw=20, Pruned=24, Speedup=0.83x
Tick 114: Raw=20, Pruned=24, Speedup=0.83x
Tick 115: Raw=20, Pruned=24, Speedup=0.83x
Tick 116: Raw=20, Pruned=24, Speedup=0.83x
Tick 117: Raw=20, Pruned=24, Speedup=0.83x
Tick 118: Raw=20, Pruned=24, Speedup=0.83x
Tick 119: Raw=20, Pruned=24, Speedup=0.83x
Tick 120: Raw=20, Pruned=24, Speedup=0.83x
Tick 121: Raw=20, Pruned=24, Speedup=0.83x
Tick 122: Raw=20, Pruned=24, Speedup=0.83x
Tick 123: Raw=20, Pruned=24, Speedup=0.83x
Tick 124: Raw=20, Pruned=24, Speedup=0.83x
Tick 125: Raw=20, Pruned=24, Speedup=0.83x
Tick 126: Raw=20, Pruned=24, Speedup=0.83x
Tick 127: Raw=20, Pruned=24, Speedup=0.83x
Tick 128: Raw=20, Pruned=24, Speedup=0.83x
Tick 129: Raw=20, Pruned=24, Speedup=0.83x
Tick 130: Raw=20, Pruned=24, Speedup=0.83x
Tick 131: Raw=20, Pruned=24, Speedup=0.83x
Tick 132: Raw=20, Pruned=24, Speedup=0.83x
Tick 133: Raw=20, Pruned=24, Speedup=0.83x
Tick 134: Raw=20, Pruned=24, Speedup=0.83x
Tick 135: Raw=20, Pruned=24, Speedup=0.83x
Tick 136: Raw=20, Pruned=24, Speedup=0.83x
Tick 137: Raw=20, Pruned=24, Speedup=0.83x
Tick 138: Raw=20, Pruned=24, Speedup=0.83x
Tick 139: Raw=20, Pruned=24, Speedup=0.83x
Tick 140: Raw=20, Pruned=24, Speedup=0.83x
Tick 141: Raw=20, Pruned=24, Speedup=0.83x
Tick 142: Raw=20, Pruned=24, Speedup=0.83x
Tick 143: Raw=20, Pruned=24, Speedup=0.83x
Tick 144: Raw=20, Pruned=24, Speedup=0.83x
Tick 145: Raw=20, Pruned=24, Speedup=0.83x
Tick 146: Raw=20, Pruned=24, Speedup=0.83x
Tick 147: Raw=20, Pruned=24, Speedup=0.83x
Tick 148: Raw=20, Pruned=24, Speedup=0.83x
Tick 149: Raw=20, Pruned=24, Speedup=0.83x
Tick 150: Raw=20, Pruned=24, Speedup=0.83x
Tick 151: Raw=20, Pruned=24, Speedup=0.83x
Tick 152: Raw=20, Pruned=24, Speedup=0.83x
Tick 153: Raw=20, Pruned=24, Speedup=0.83x
Tick 154: Raw=20, Pruned=24, Speedup=0.83x
Tick 155: Raw=20, Pruned=24, Speedup=0.83x
Tick 156: Raw=20, Pruned=24, Speedup=0.83x
Tick 157: Raw=20, Pruned=24, Speedup=0.83x
Tick 158: Raw=20, Pruned=24, Speedup=0.83x
Tick 159: Raw=20, Pruned=24, Speedup=0.83x
Tick 160: Raw=20, Pruned=24, Speedup=0.83x
Tick 161: Raw=20, Pruned=24, Speedup=0.83x
Tick 162: Raw=20, Pruned=24, Speedup=0.83x
Tick 163: Raw=20, Pruned=24, Speedup=0.83x
Tick 164: Raw=20, Pruned=24, Speedup=0.83x
Tick 165: Raw=20, Pruned=24, Speedup=0.83x
Tick 166: Raw=20, Pruned=24, Speedup=0.83x
Tick 167: Raw=20, Pruned=24, Speedup=0.83x
Tick 168: Raw=20, Pruned=24, Speedup=0.83x
Tick 169: Raw=20, Pruned=24, Speedup=0.83x
Tick 170: Raw=20, Pruned=24, Speedup=0.83x
Tick 171: Raw=20, Pruned=24, Speedup=0.83x
Tick 172: Raw=20, Pruned=24, Speedup=0.83x
Tick 173: Raw=20, Pruned=24, Speedup=0.83x
Tick 174: Raw=20, Pruned=24, Speedup=0.83x
Tick 175: Raw=20, Pruned=24, Speedup=0.83x
Tick 176: Raw=20, Pruned=24, Speedup=0.83x
Tick 177: Raw=20, Pruned=24, Speedup=0.83x
Tick 178: Raw=20, Pruned=24, Speedup=0.83x
Tick 179: Raw=20, Pruned=24, Speedup=0.83x
Tick 180: Raw=20, Pruned=24, Speedup=0.83x
Tick 181: Raw=20, Pruned=24, Speedup=0.83x
